Normalized GPU,GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.635206223,0.103786051,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.400539398,0.106376875,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.46422863,0.105661015,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.537776947,0.104846235,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.568327904,0.104511468,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.451645851,0.105801679,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.461146355,0.105695437,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.550402641,0.104707627,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,8.89410305,0.112434047,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.387571335,0.106523824,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.386547089,0.106535448,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.62958622,0.103846622,K80,Res15,0.4249134031,0.01587039183
0,4.113,0,630989589,0.3,0.052934113,0.5625,693818,9.533252716,0.104895992,K80,Res15,0.4249134031,0.01587039183
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.576661587,0.218499878,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.568742752,0.218878596,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.589184284,0.217903649,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.625036716,0.2162145,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.493106365,0.222563171,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.617976665,0.216545053,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.581987381,0.218245909,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.594210148,0.217665272,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.630461216,0.215961208,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.628634453,0.216046441,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.510657787,0.221697155,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.627150536,0.216115727,K80,Res32,0.1541709625,0.06135950261
0,4.113,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,4.616057396,0.216635088,K80,Res32,0.1541709625,0.06135950261
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.711906433,1.404678977,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.710938215,1.406591992,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.710623801,1.407214336,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.713746548,1.401057564,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.711379111,1.405720219,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.71166712,1.40515133,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.711706102,1.405074366,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.711763918,1.404960233,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.699347079,1.429905164,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.712407351,1.403691299,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.712188482,1.40412268,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.71473819,1.399113709,K80,shakebig,0,1
0,4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.714442372,1.399693018,K80,shakebig,0,1
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.539875507,0.393720085,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.571589947,0.388864485,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.527244091,0.395687937,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.564818382,0.389891154,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.583915472,0.387009564,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.583359957,0.387092785,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.521844625,0.396535135,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.55969882,0.390670962,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.538445473,0.393941887,K80,shakesmall,0.09450426557,0.1024678338
0,4.113,0.08799394029,2587431950,0.3,0.05293411255,0.5625,2926986,2.562117815,0.390302114,K80,shakesmall,0.09450426557,0.1024678338
